"full_table_name","size_in_bytes","size"
"""public"".""shares_prices_quots_2022""",9262940160,"8834 MB"
"""public"".""shares_prices_quots_2023""",5748637696,"5482 MB"
"""public"".""shares_prices_quots_2021""",2728992768,"2603 MB"
"""public"".""shares_prices_quots_2020""",623943680,"595 MB"
"""public"".""sharesPotentials""",47448064,"45 MB"
"""public"".""sharesInfos""",3620864,"3536 kB"
"""public"".""sharesStats""",172032,"168 kB"
"""public"".""Users""",16384,"16 kB"
"""public"".""modelsDeepLearning""",16384,"16 kB"
"""public"".""shares_prices_quots_2028""",8192,"8192 bytes"
"""public"".""shares_prices_quots_2029""",8192,"8192 bytes"
"""public"".""shares_prices_quots_2030""",8192,"8192 bytes"
"""public"".""shares_prices_quots_2024""",8192,"8192 bytes"
"""public"".""shares_prices_quots_2025""",8192,"8192 bytes"
"""public"".""shares_prices_quots_2026""",8192,"8192 bytes"
"""public"".""shares_prices_quots_2027""",8192,"8192 bytes"
"""public"".""sharesPricesQuots""",0,"0 bytes"
"""public"".""pg_stat_statements_info""",0,"0 bytes"
"""public"".""WalletStats""",0,"0 bytes"
"""public"".""vue_sharesinfos""",0,"0 bytes"
"""public"".""WalletOperations""",0,"0 bytes"
"""public"".""pg_stat_statements""",0,"0 bytes"
